node,bin,bin_start_ms,bin_end_ms,rate_pkts_per_s,kind
fd00::21c:1c:1c:1c,19639,19639000,19640000,1.0,server_sent
fd00::21c:1c:1c:1c,19646,19646000,19647000,1.0,server_sent
fd00::21c:1c:1c:1c,19657,19657000,19658000,1.0,server_sent
fd00::21c:1c:1c:1c,19667,19667000,19668000,1.0,server_sent
fd00::21c:1c:1c:1c,19678,19678000,19679000,1.0,server_sent
fd00::21c:1c:1c:1c,19689,19689000,19690000,1.0,server_sent
fd00::21c:1c:1c:1c,19699,19699000,19700000,1.0,server_sent
fd00::21c:1c:1c:1c,19710,19710000,19711000,2.0,server_sent
fd00::21c:1c:1c:1c,19724,19724000,19725000,1.0,server_sent
fd00::21c:1c:1c:1c,19731,19731000,19732000,1.0,server_sent
fd00::21c:1c:1c:1c,19742,19742000,19743000,1.0,server_sent
fd00::21c:1c:1c:1c,19753,19753000,19754000,1.0,server_sent
fd00::21c:1c:1c:1c,19773,19773000,19774000,2.0,server_sent
fd00::21c:1c:1c:1c,19938,19938000,19939000,16.0,server_sent
fd00::21c:1c:1c:1c,20462,20462000,20463000,53.0,server_sent
fd00::21c:1c:1c:1c,20480,20480000,20481000,2.0,server_sent
fd00::21c:1c:1c:1c,20695,20695000,20696000,21.0,server_sent
fd00::21c:1c:1c:1c,20706,20706000,20707000,1.0,server_sent
fd00::21c:1c:1c:1c,20728,20728000,20729000,2.0,server_sent
fd00::21c:1c:1c:1c,20738,20738000,20739000,1.0,server_sent
fd00::21c:1c:1c:1c,20748,20748000,20749000,1.0,server_sent
fd00::21c:1c:1c:1c,20759,20759000,20760000,1.0,server_sent
fd00::21c:1c:1c:1c,20770,20770000,20771000,2.0,server_sent
fd00::21c:1c:1c:1c,20793,20793000,20794000,2.0,server_sent
fd00::21c:1c:1c:1c,20801,20801000,20802000,1.0,server_sent
fd00::21c:1c:1c:1c,20812,20812000,20813000,1.0,server_sent
fd00::21c:1c:1c:1c,20822,20822000,20823000,1.0,server_sent
fd00::21c:1c:1c:1c,20834,20834000,20835000,1.0,server_sent
fd00::21c:1c:1c:1c,20849,20849000,20850000,1.0,server_sent
fd00::21c:1c:1c:1c,20854,20854000,20855000,1.0,server_sent
fd00::21c:1c:1c:1c,20868,20868000,20869000,1.0,server_sent
fd00::21c:1c:1c:1c,20878,20878000,20879000,1.0,server_sent
fd00::21c:1c:1c:1c,21247,21247000,21248000,37.0,server_sent
fd00::21c:1c:1c:1c,21257,21257000,21258000,1.0,server_sent
fd00::21d:1d:1d:1d,22,22000,23000,0.0,server_sent
fd00::21d:1d:1d:1d,38,38000,39000,1.0,server_sent
fd00::21d:1d:1d:1d,44,44000,45000,1.0,server_sent
fd00::21d:1d:1d:1d,59,59000,60000,1.0,server_sent
fd00::21d:1d:1d:1d,74,74000,75000,2.0,server_sent
fd00::21d:1d:1d:1d,239,239000,240000,16.0,server_sent
fd00::21d:1d:1d:1d,255,255000,256000,2.0,server_sent
fd00::21d:1d:1d:1d,269,269000,270000,1.0,server_sent
fd00::21d:1d:1d:1d,479,479000,480000,21.0,server_sent
fd00::21d:1d:1d:1d,491,491000,492000,2.0,server_sent
fd00::21d:1d:1d:1d,511,511000,512000,2.0,server_sent
fd00::21d:1d:1d:1d,686,686000,687000,17.0,server_sent
fd00::21d:1d:1d:1d,697,697000,698000,1.0,server_sent
fd00::21d:1d:1d:1d,707,707000,708000,1.0,server_sent
fd00::21d:1d:1d:1d,718,718000,719000,1.0,server_sent
fd00::21d:1d:1d:1d,1104,1104000,1105000,39.0,server_sent
fd00::21d:1d:1d:1d,1116,1116000,1117000,1.0,server_sent
fd00::21d:1d:1d:1d,1127,1127000,1128000,1.0,server_sent
fd00::21d:1d:1d:1d,1132,1132000,1133000,1.0,server_sent
fd00::21d:1d:1d:1d,1145,1145000,1146000,1.0,server_sent
fd00::21d:1d:1d:1d,1154,1154000,1155000,1.0,server_sent
fd00::21d:1d:1d:1d,1165,1165000,1166000,1.0,server_sent
fd00::21d:1d:1d:1d,1178,1178000,1179000,1.0,server_sent
fd00::21d:1d:1d:1d,1186,1186000,1187000,1.0,server_sent
fd00::21d:1d:1d:1d,1404,1404000,1405000,22.0,server_sent
fd00::21d:1d:1d:1d,1416,1416000,1417000,1.0,server_sent
