node,cpu_energy_mj,lpm_energy_mj,radio_tx_energy_mj,radio_rx_energy_mj,node_time,total_sent,total_received,bytes_tx,bytes_rx,r2n_latency,lqi,rssi,server_sent,server_received,server_bytes_rx,n2r_latency,hops,rtt_latency,root_time_now
fd00::202:2:2:2,18,0,0,8,547453,51,52,60,12,64,100,-52,52,103,60,17,0,67,547470
fd00::202:2:2:2,18,0,0,8,557984,52,53,60,12,74,100,-52,53,105,60,56,0,72,558040
fd00::202:2:2:2,18,0,0,8,568515,53,54,60,12,14,100,-52,54,107,60,25,0,42,568540
fd00::202:2:2:2,18,0,0,8,579044,54,55,60,12,24,100,-52,55,109,60,66,0,47,579110
fd00::202:2:2:2,18,0,0,8,589577,55,56,60,12,34,100,-52,56,111,60,33,0,52,589610
fd00::202:2:2:2,18,0,0,8,600106,56,58,60,12,54,100,-52,58,114,60,74,0,62,600180
fd00::202:2:2:2,18,0,0,8,610637,57,59,60,12,64,100,-52,59,116,60,43,0,67,610680
fd00::202:2:2:2,18,0,0,8,621168,58,60,60,12,74,100,-52,60,118,60,12,0,72,621180
fd00::202:2:2:2,18,0,0,8,631699,59,61,60,12,14,100,-52,61,120,60,51,0,42,631750
fd00::202:2:2:2,18,0,0,8,642230,60,62,60,12,24,100,-52,62,122,60,20,0,47,642250
fd00::202:2:2:2,18,0,0,8,652761,61,63,60,12,34,100,-52,63,124,60,59,0,52,652820
fd00::202:2:2:2,18,0,0,8,663294,62,64,60,12,44,100,-52,64,126,60,26,0,57,663320
fd00::202:2:2:2,18,0,0,8,673823,63,65,60,12,54,100,-52,65,128,60,67,0,62,673890
fd00::202:2:2:2,18,0,0,8,684354,64,66,60,12,64,100,-52,66,130,60,36,0,67,684390
fd00::202:2:2:2,18,0,0,8,694885,65,67,60,12,74,100,-52,67,132,60,75,0,72,694960
fd00::202:2:2:2,18,0,0,8,705418,66,68,60,12,14,100,-52,68,134,60,42,0,42,705460
fd00::202:2:2:2,18,0,0,8,715947,67,69,60,12,24,100,-52,69,136,60,13,0,47,715960
fd00::202:2:2:2,18,0,0,8,726478,68,70,60,12,34,100,-52,70,138,60,52,0,52,726530
fd00::202:2:2:2,18,0,0,8,737011,69,71,60,12,44,100,-52,71,140,60,19,0,57,737030
fd00::202:2:2:2,18,0,0,8,747540,70,72,60,12,54,100,-52,72,142,60,60,0,62,747600
fd00::202:2:2:2,18,0,0,8,758071,71,73,60,12,64,100,-52,73,144,60,29,0,67,758100
fd00::202:2:2:2,18,0,0,8,768604,72,74,60,12,74,100,-52,74,146,60,66,0,72,768670
fd00::202:2:2:2,18,0,0,8,779135,73,75,60,12,14,100,-52,75,148,60,35,0,42,779170
fd00::202:2:2:2,18,0,0,8,789666,74,76,60,12,24,100,-52,76,150,60,4,0,47,789670
fd00::202:2:2:2,18,0,0,8,800195,75,78,60,12,44,100,-52,78,153,60,45,0,57,800240
fd00::202:2:2:2,18,0,0,8,810726,76,79,60,12,54,100,-52,79,155,60,14,0,62,810740
fd00::202:2:2:2,18,0,0,8,821257,77,80,60,12,64,100,-52,80,157,60,53,0,67,821310
fd00::202:2:2:2,18,0,0,8,831788,78,81,60,12,74,100,-52,81,159,60,22,0,72,831810
fd00::202:2:2:2,18,0,0,8,842319,79,82,60,12,14,100,-52,82,161,60,61,0,42,842380
fd00::202:2:2:2,18,0,0,8,852850,80,83,60,12,24,100,-52,83,163,60,30,0,47,852880
fd00::202:2:2:2,18,0,0,8,863381,81,84,60,12,34,100,-52,84,165,60,69,0,87,863450
